Pau,Gasol,2014-11-13,CHI,TOR,False,2101.0,12,19,0,0,3,4,2,9,11,2,1,3,2,2,27
Rudy,Gay,2014-11-13,SAC,MEM,False,2416.0,8,17,1,2,8,8,3,4,7,2,1,1,0,3,25
Jimmy,Butler,2014-11-13,CHI,TOR,False,2387.0,7,10,1,3,6,8,0,9,9,6,0,1,1,3,21
Dirk,Nowitzki,2014-11-13,DAL,PHI,True,1209.0,7,8,1,2,6,7,0,3,3,4,0,0,1,1,21
Mike,Conley,2014-11-13,MEM,SAC,True,2324.0,8,17,1,3,5,6,0,1,1,11,1,0,1,4,22
Andrew,Bogut,2014-11-13,GSW,BRK,True,1860.0,4,7,0,0,3,5,7,7,14,5,1,4,1,3,11
James,Johnson,2014-11-13,TOR,CHI,True,1455.0,7,9,0,1,2,3,2,3,5,1,4,4,1,5,16
Draymond,Green,2014-11-13,GSW,BRK,True,1958.0,7,14,3,8,0,0,0,8,8,7,1,2,1,1,17
Jarrett,Jack,2014-11-13,BRK,GSW,False,1530.0,10,10,0,0,3,4,0,3,3,3,0,0,3,4,23
Marc,Gasol,2014-11-13,MEM,SAC,True,2245.0,5,13,0,0,10,11,3,4,7,2,2,2,2,4,20
Darren,Collison,2014-11-13,SAC,MEM,False,2240.0,6,11,2,3,6,7,0,2,2,5,1,1,3,2,20
Klay,Thompson,2014-11-13,GSW,BRK,True,2152.0,8,22,4,9,5,6,2,2,4,2,2,0,2,0,25
Courtney,Lee,2014-11-13,MEM,SAC,True,2155.0,6,9,1,1,3,3,0,1,1,3,3,0,1,3,16
Chandler,Parsons,2014-11-13,DAL,PHI,True,1704.0,4,7,2,5,4,6,2,4,6,3,0,0,0,1,14
DeMarcus,Cousins,2014-11-13,SAC,MEM,False,1851.0,8,17,0,0,6,7,2,10,12,1,2,3,6,5,22
Monta,Ellis,2014-11-13,DAL,PHI,True,1738.0,7,12,2,4,1,2,0,4,4,4,3,0,3,3,17
Brandan,Wright,2014-11-13,DAL,PHI,True,967.0,4,7,0,0,6,7,2,3,5,0,1,2,0,3,14
Kyle,Lowry,2014-11-13,TOR,CHI,True,2057.0,8,19,3,7,1,3,1,7,8,8,0,0,2,5,20
Deron,Williams,2014-11-13,BRK,GSW,False,1981.0,7,14,2,3,2,2,0,4,4,5,2,0,3,3,18
Joakim,Noah,2014-11-13,CHI,TOR,False,1957.0,3,5,0,0,0,2,3,5,8,6,3,1,0,3,6
Vince,Carter,2014-11-13,MEM,SAC,True,1024.0,4,5,3,4,0,0,1,3,4,2,1,1,1,0,11
Mike,Dunleavy,2014-11-13,CHI,TOR,False,2082.0,5,10,2,5,2,4,0,5,5,2,1,0,0,0,14
Mason,Plumlee,2014-11-13,BRK,GSW,False,1218.0,3,9,0,1,7,8,2,6,8,1,0,1,0,1,13
Zach,Randolph,2014-11-13,MEM,SAC,True,2055.0,6,13,0,0,5,8,0,8,8,2,0,0,0,3,17
J.J.,Barea,2014-11-13,DAL,PHI,True,1182.0,3,7,0,1,1,1,0,3,3,11,1,0,1,1,7
Joe,Johnson,2014-11-13,BRK,GSW,False,1948.0,5,12,0,2,2,2,1,4,5,4,3,0,1,2,12
Amir,Johnson,2014-11-13,TOR,CHI,True,1806.0,4,9,1,1,5,7,3,2,5,1,1,1,1,3,14
Derrick,Rose,2014-11-13,CHI,TOR,False,1791.0,5,14,1,5,9,10,2,1,3,4,0,0,5,0,20
Stephen,Curry,2014-11-13,GSW,BRK,True,1916.0,6,12,3,7,2,2,1,2,3,5,0,0,3,5,17
Ben,McLemore,2014-11-13,SAC,MEM,False,2240.0,6,12,3,6,2,4,0,4,4,0,0,0,1,1,17
Harrison,Barnes,2014-11-13,GSW,BRK,True,1939.0,4,10,1,3,3,3,0,3,3,3,0,0,0,0,12
